id,l_number,article_number,price_pp_chf,price_sp_chf,hero_image_url,very_short_description_de,short_description_de
3929,125058,2.14461104,6.45,27,images/A0688_FA_01.jpg,A0688-BRACKET BACKING GUELL 3,Verstärkung Haltebügel GUELL 3
3930,125057,2.14453894,43.3,153,images/guell_doppelte_halterung.jpg,A0671/2-94 POLE SUPPORT FOR GUELL3 D60/7,Doppelte Halterung für Mastzopf Ø 60-76 mm GUELL 3
3931,125059,2.14454220,14.55,70,,A0673/S INTERNAL COVER GUELL 3 SIM.,Blendschutzelement GUELL 3 symmetrisch
3932,125060,2.14452994,18.25,81,,A0667-94 SOFT GLASS FOR GUELL 3,Softglas GUELL 3
3933,125063,2.14012294,14.95,71,images/LEO_A999_FAS_04.jpg,A999-94 ATTACC.PALO D.60/80,Mastanschluss Ø 60-80 mm aus weissaluminium lackiertem Stahl
3934,125064,2.310967,41.3,147,images/310967_GUELL_lp.jpg,SUPPORTO TESTA PALO DOPPIO GUELL 2.5,Doppelte Halterung GUELL 2.5
3935,125067,2.LTF1A3652,24.3,100,images/ImgAcc_VISOR-GR94-GUELL-25_StillLife_Photo_lp.jpg,GUELL 2.5 Visor,Visier GUELL 2.5+
3936,125073,2.14173394,24.3,100,images/guell1_2_wandhalter_500.jpg,A0654/500-94 TIGE 500MM GUELL 1/2,Wandhalterung 500 mm GUELL 1/2
3937,125072,2.LTF1A2222,45.3,159,images/ImgAcc_POLE-TOP-BRACKET-DOUBLE-GR94-GUELL-2_StillLife_Photo_lp.jpg,GUELL 2 Double pole top support,Doppelte Halterung für Mastzopf Ø 60/76 mm GUELL 2+
3956,125109,2.3111277,39.65,142,images/A_P_SENSOR_FAS_0_lp.jpg,MICROWAVE MOTION SENSOR A+,Bewegungssensor
3938,125071,2.LTF1A2212,27.5,110,images/ImgAcc_POLE-TOP-BRACKET-SINGLE-GR94-GUELL-2_StillLife_Photo_lp.jpg,GUELL 2 Single pole top support,Einzelne Halterung für Mastzopf Ø 60/76 mm GUELL 2+
3939,125070,2.LTF1A5203,15.8,74,images/ImgAcc_PROTECTION-GRID-GUELL-2_StillLife_Photo.png,GUELL 2 Protective grid,Schutzgitter GUELL 2+
3940,125069,2.LTF1A3252,19.85,86,images/ImgAcc_VISOR-GR94-GUELL-2_StillLife_Photo.png,GUELL 2 Visor,Visier GUELL 2+
3941,125075,2.LTF1A2112,29.95,117,images/ImgAcc_POLE-TOP-BRACKET-SINGLE-GR94-GUELL-1_StillLife_Photo_lp.jpg,GUELL 1 Single pole top support,Einzelne Halterung für Mastzopf Ø 60/76 mm GUELL 1+
3942,125076,2.LTF1A2122,36.05,131,images/ImgAcc_POLE-TOP-BRACKET-DOUBLE-GR94-GUELL-1_StillLife_Photo_lp.jpg,GUELL 1 Double pole top support,Doppelte Halterung für Mastzopf Ø 60/76 mm GUELL 1+
3943,125074,2.LTF1A3152,14.95,71,images/GUELL_1_Visor.png,GUELL 1 VISOR,Visier GUELL 1+
3944,125078,2.3117845,125.1,396,images/ImgAcc_CONTROLLER-DMX-RGBW-TW-BK81-3117845_StillLife_Render_1200x1200_lp.jpg,CONTROLLER TOUCH DMX BLACK,Controller DMX touch black
3945,125080,2.14099696,24.7,101,images/SQUARE_p_pole_top_D90_01.jpg,A0479/96-D90 POLE CLAMP SYSTEMPARK,"Gleitlagerung lackiertes Aluminium, geeignet für Masten mit Ø 90 mm"
3946,125079,2.3107466,16.2,75,images/TYK_P_20_SNOOT_lp.jpg,KIT SNOOT TYK+20,Blendschutz-Röhrenschirm
3947,125081,2.LTS1A2533,19,84,images/ImgAcc_SURFACE-BRACKET-EXTRA-ROTATION-INOX-TYK-P-15_StillLife_Render_1024x1024.png,TYK+ 15 KIT BRACKET EXTRA ROTATION,Bügel Extrarotation +55°/-90°
3948,125083,2.LTS1A3571,10.95,59,images/ImgAcc_SNOOT-BK81-TYK-P-15_StillLife_Render_1024x1024.png,TYK+ 15 KIT SNOOT BK81,Blendschutz-Röhrenschirm
3949,125082,2.LTS1A3561,17.4,79,images/ImgAcc_BARNDOORS-BK81-TYK-P-15_StillLife_Render_1024x1024.png,TYK+ 15 KIT BARNDOOR BK81,Flügelblende aus schwarz lackiertem Stahlblech
3950,125085,2.3112468,53.85,178,images/TYK_P_10_box_IP66_lp.jpg,DRIVER BOX 20W 1A - 1CH -DALI AN96,Vorschaltgerätebox 20W 1A - 1CH -DALI AN96
3951,125086,2.3107463,11.75,61,images/TYK_P_10_SNOOT_lp.jpg,KIT SNOOT TYK+10,Blendschutz-Röhrenschirm
3952,125087,2.310476,6.45,27,images/INSERT_P_1_ANGLE_WH1_02.jpg,ADATTATORE INSERT+ 1 WH1,Adapter INSERT+ 1 (Nachrüst-Kit Insert 1)
3953,125088,2.310478,6.45,27,images/INSERT_P_1_ANGLE_AN3_02.jpg,ADATTATORE INSERT+ 1 AN3,Adapter INSERT+ 1 (Nachrüst-Kit Insert 1)
3954,125089,2.310495,6.45,27,images/CONNETTORI_02.jpg,KIT DERIVAZIONE Y 3 VIE D.14-17 mm IP68,Abzweigdose Y 3-WEGE Ø 14-17 mm IP 68
3955,125107,2.LTH3A2053,6.45,27,,LAMA+ BALL-PROOF SUSPENSION KIT,Edelstahl-Federkarabiner-Set (2 Stk.)
