name,manufacturer,category,family,price_chf,wattage,kelvin,inside,outside,mounting,luminaire_types,image_url,product_id,source_article_id,source_article_number,kelvin_values,source_l_number,source_version,memory_type,lambda,style,mood,finish
WIN PRO + 30 130 A55/M 757 GR94 ZHU,Performance In Lighting - Italy,,,1020.0,130.0,5700.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1080,1080,2.3116105,5700,108176,1,hard,0.01,minimalist,focused,white
WIN PRO + 30 130 A55/M 740 GR94 ZHU,Performance In Lighting - Italy,,,1020.0,130.0,4000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1081,1081,2.3116104,4000,108177,1,hard,0.01,minimalist,focused,white
WIN PRO + 30 190 A55/M 740 GR94,Performance In Lighting - Italy,,,952.0,190.0,4000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1082,1082,2.3116131,4000,108155,1,hard,0.01,minimalist,focused,white
WIN PRO + 30 130 A55/M 730 GR94 ZHU,Performance In Lighting - Italy,,,1020.0,130.0,3000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1083,1083,2.3116103,3000,108178,1,hard,0.01,minimalist,ambient,white
WIN PRO + 30 130 A55/M 730 GR94,Performance In Lighting - Italy,,,751.0,130.0,3000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1084,1084,2.3116094,3000,108159,1,hard,0.01,minimalist,ambient,white
WIN PRO + 30 190 A55/M 740 GR94 ZHU,Performance In Lighting - Italy,,,1221.0,190.0,4000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1085,1085,2.3116140,4000,108173,1,hard,0.01,minimalist,focused,white
WIN PRO + 30 190 A55/M 730 GR94 ZHU,Performance In Lighting - Italy,,,1221.0,190.0,3000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1086,1086,2.3116139,3000,108175,1,hard,0.01,minimalist,ambient,white
WIN PRO + 30 190 A55/M 757 GR94 ZHU,Performance In Lighting - Italy,,,1221.0,190.0,5700.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1087,1087,2.3116141,5700,108172,1,hard,0.01,minimalist,focused,white
NIKKO+45 10LED 15W DA 3000K GR/M,Performance In Lighting - Italy,Wandleuchte,NIKKO,462.0,15.0,3000.0,True,True,wall,outdoor,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/NKP-45-P_GR3_lp.jpg,article_1088,1088,2.303103,3000,108183,1,hard,0.01,minimalist,ambient,white
WIN PRO + 30 130 A35/W 757 GR94 RPA,Performance In Lighting - Italy,,,858.0,130.0,5700.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1089,1089,2.3116114,5700,108201,1,hard,0.01,minimalist,focused,white
WIN PRO + 30 250 A35/W 730 GR94 DALI,Performance In Lighting - Italy,,,1155.0,250.0,3000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1090,1090,2.3116181,3000,108182,1,hard,0.01,minimalist,ambient,white
WIN PRO + 30 250 A35/W 730 GR94,Performance In Lighting - Italy,,,1020.0,250.0,3000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1091,1091,2.3116178,3000,108206,1,hard,0.01,minimalist,ambient,white
WIN PRO + 30 130 A35/W 730 GR94 DALI,Performance In Lighting - Italy,,,885.0,130.0,3000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1092,1092,2.3116109,3000,108191,1,hard,0.01,minimalist,ambient,white
